exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints,targeted_structure,mlp_orientation_accs,mlp_temp_freq_accs
649409874,350249,Vip-IRES-Cre,175,628,26,58281,VISpm,23.25833333333330,34.37500000000000
604328043,325932,Slc17a7-IRES2-Cre,375,628,52,56624,VISrl,46.725000000000000,41.09166666666660
556353209,271750,Rbp4-Cre_KL100,375,628,21,56741,VISam,24.708333333333300,29.41666666666670
627823695,339814,Ntsr1-Cre_GN220,550,628,21,56618,VISp,61.475000000000000,38.58333333333330
662982346,357433,Vip-IRES-Cre,250,628,10,56751,VISl,19.25000000000000,31.716666666666700
645689073,345270,Tlx3-Cre_PL56,375,628,184,56759,VISl,66.4833333333333,62.33333333333340
657776356,354087,Vip-IRES-Cre,275,628,9,56615,VISpm,21.658333333333400,25.75000000000000
613091721,324180,Slc17a7-IRES2-Cre,375,628,35,58291,VISl,46.466666666666600,55.04166666666670
652094901,355468,Slc17a7-IRES2-Cre,175,628,207,58300,VISp,55.26666666666670,51.45000000000000
560809202,277933,Nr5a1-Cre,350,628,41,56746,VISpm,28.183333333333300,38.45
545446482,260936,Emx1-IRES-Cre,175,628,171,56755,VISp,56.033333333333300,63.0916666666667
502793808,222426,Cux2-CreERT2,175,628,153,56616,VISl,79.02500000000000,68.10833333333340
581597734,296704,Emx1-IRES-Cre,175,628,189,56626,VISrl,51.4166666666667,23.6
594320795,311728,Emx1-IRES-Cre,175,628,169,56625,VISrl,30.508333333333300,30.266666666666700
501940850,225039,Cux2-CreERT2,175,628,143,56749,VISl,75.18333333333330,59.70833333333330
546641574,265164,Rorb-IRES2-Cre,275,628,191,56616,VISl,63.55833333333330,61.90833333333330
638862121,337438,Nr5a1-Cre,350,628,7,56627,VISal,28.375000000000000,42.50000000000000
614556106,336246,Vip-IRES-Cre,275,628,8,56759,VISl,31.016666666666700,34.650000000000000
595273803,309841,Rbp4-Cre_KL100,375,628,75,58279,VISam,42.366666666666600,40.61666666666670
601705404,317644,Vip-IRES-Cre,275,628,12,56757,VISpm,29.991666666666700,37.28333333333330
662361096,362734,Vip-IRES-Cre,275,628,16,56753,VISp,16.483333333333300,34.73333333333330
511194579,234589,Rbp4-Cre_KL100,375,628,57,56622,VISl,46.883333333333400,53.95
603763073,323528,Sst-IRES-Cre,325,628,22,56756,VISpm,33.74166666666670,37.10833333333330
645086975,348105,Ntsr1-Cre_GN220,550,628,46,56618,VISp,55.72500000000000,43.050000000000000
662359728,356797,Slc17a7-IRES2-Cre,275,628,92,56762,VISpm,28.233333333333300,37.383333333333400
504853580,222431,Rorb-IRES2-Cre,275,628,126,56757,VISal,54.28333333333330,41.47500000000000
657078119,357433,Vip-IRES-Cre,175,628,9,56747,VISp,18.583333333333300,31.975000000000000
581150104,296462,Sst-IRES-Cre,275,628,8,56612,VISp,43.1,55.50000000000000
644026238,339312,Rorb-IRES2-Cre,275,628,240,56624,VISp,70.41666666666670,57.774999999999900
